Frame Roll Pitch Yaw
177 1.69657 -3.63509 3.24007
178 1.89383 -2.94931 2.0808
179 1.71804 -2.66237 3.06038
180 1.13071 -3.30118 4.79734
181 2.0828 -3.88258 3.87446
182 1.7995 -3.07589 3.80812
183 1.8964 -4.27399 2.85596
184 1.66324 -3.56407 4.46832
185 1.87393 -5.20202 4.40648
186 1.30863 -4.35143 4.0527
187 1.84784 -4.70747 3.69162
188 1.89909 -5.52587 2.83012
189 1.80362 -3.91238 2.78565
190 1.64217 -5.64402 2.20072
191 1.97526 -3.62801 3.65264
192 1.3051 -4.64678 3.28234
193 2.29396 -4.15669 3.05279
194 2.00879 -4.31519 1.98702
195 1.3045 -2.68792 4.39373
196 1.20264 -4.46004 2.84093
197 1.92397 -3.98732 3.76289
198 2.58967 -2.92318 4.57406
199 2.61884 -4.29783 2.95154
200 1.6977 -3.44462 4.77029
201 2.39407 -3.83171 3.89991
202 -0.12425 -3.666 4.16006
203 0.912525 -4.00153 4.04554
204 1.36502 -3.10637 4.56098
205 1.5944 -2.33225 3.49431
206 0.533076 -4.43022 3.66723
207 0.967507 -4.85373 4.15121
208 2.60478 -4.16694 4.35264
209 1.53244 -5.91455 3.90928
210 2.54004 -3.18123 4.54696
211 2.46079 -4.4435 3.61731
212 2.40046 -3.6359 4.24957
213 2.39533 -4.04843 4.12976
214 1.73299 -3.40055 7.12185
215 0.678005 -4.51981 6.94776
216 3.4923 0.485348 -7.50578
217 2.93911 -0.320165 -8.50183
218 2.27238 -2.70015 8.44998
219 3.28518 0.906416 -7.35305
220 3.78889 -0.160862 -10.2741
221 4.93331 1.21641 -8.4474
222 5.09386 -0.936783 -1.28921
223 3.87503 -0.528445 -8.48877
224 4.76509 0.243915 -7.32007
225 4.23811 -0.769477 -1.93292
226 4.54901 -0.824823 -4.85669
227 5.34904 0.751593 -0.0402767
228 4.89878 1.1689 -4.2057
229 4.24615 0.772759 0.23513
230 4.52345 0.757578 0.223875
231 3.03538 2.13997 -1.86657
232 3.95168 1.62348 4.31705
233 3.76039 2.09105 0.983606
234 4.33281 0.576762 6.51092
235 3.6737 0.887844 -1.50717
236 4.72782 2.7765 2.09289
237 4.76696 2.44694 -0.558985
238 3.79696 0.95892 5.46175
239 3.6042 1.95146 7.57009
240 3.61512 2.05285 2.98431
241 4.32207 2.13102 1.34184
242 3.50095 0.906064 1.81786
243 3.27726 2.71071 -1.84561
244 4.01581 -7.19322 6.30591
245 3.73684 2.28953 0.807323
246 3.6331 0.938366 0.373947
247 3.60748 -7.59182 5.93328
248 3.80724 -7.94205 6.78983
249 3.35215 1.56859 2.89039
250 3.29873 3.13084 3.28041
251 3.47597 1.84071 -1.84966
252 4.46061 2.01559 -1.19049
253 4.56803 0.63718 -0.389675
254 4.14611 1.90011 2.16547
255 3.23294 -6.46806 6.97629
256 3.87288 2.07632 -0.928454
257 3.51195 0.366747 2.83681
258 4.03043 2.00187 6.76851
259 3.95095 1.61751 -2.58548
260 3.90502 1.64743 3.29438
261 4.38278 2.13658 0.764929
262 4.39053 0.882169 0.93873
263 3.63568 1.02698 0.857607
264 3.3816 3.09324 0.180546
265 3.90407 1.4995 5.06974
266 3.7627 1.03123 2.56197
267 4.03718 2.33029 1.32175
268 4.46425 1.11661 1.40736
269 3.95332 1.16782 4.94777
270 4.43955 0.945373 2.75024
271 4.00777 1.5429 2.76153
272 4.77805 1.13154 3.62263
273 4.80483 0.642958 7.23803
274 3.89588 1.52515 2.37652
275 4.64231 1.2382 5.20316
276 4.3959 0.953584 4.31664
277 4.02034 2.15063 0.705143
278 4.37486 1.49214 3.88609
279 4.42403 -0.00984806 0.346137
280 3.89693 0.481504 2.24533
281 4.48224 0.633522 3.19378
282 4.67178 1.11206 4.87126
283 3.27453 0.758808 1.14334
284 3.95747 1.00962 1.55874
285 4.1616 1.30848 -4.70463
286 4.39496 0.930996 -4.4681
287 5.3867 1.01963 -0.681264
288 4.71761 1.56432 -1.01046
289 4.94503 1.20632 -4.05293
290 4.71417 2.22747 3.14208
291 4.55571 0.939068 0.350873
292 4.0418 1.53884 -1.48898
293 4.78764 1.30866 -2.88531
294 4.44266 1.21107 -2.75885
295 4.62954 0.791083 -3.32115
296 4.11529 2.93507 1.67893
297 4.55759 2.05348 -2.06354
298 4.27623 2.2406 1.24243
299 5.51994 2.06648 -3.66632
300 3.9754 3.46905 -2.95815
301 4.50592 2.82288 -1.76159
302 3.53949 2.29291 -4.07707
303 3.88185 2.20829 0.753306
304 4.18751 2.29064 -4.65867
305 4.83282 2.10825 -4.12137
306 1.40096 -3.84321 8.35524
307 4.69352 2.90328 -5.79012
308 0.869528 -4.04154 8.01294
309 4.60421 3.22021 -4.16157
310 0.960835 -3.46008 8.06101
311 -0.0545084 -3.44398 5.89041
312 -1.04662 -2.9589 7.17808
313 2.25708 -3.68886 4.79862
314 2.15467 -2.61578 4.11733
315 1.12427 -2.60582 4.93375
316 -1.10486 -3.47302 3.89026
317 2.4658 -3.10938 5.79845
318 2.71705 -3.17204 5.99464
319 0.514001 -2.4839 5.08898
320 1.98608 -2.05611 4.41625
321 1.74919 -2.49037 3.78734
322 1.36119 -2.92257 4.57593
323 1.42932 -2.60459 3.76516
324 2.81921 -2.04437 4.04258
325 1.9835 -2.10125 4.85818
326 1.75434 -3.58113 4.41503
327 3.42876 -2.93488 2.59828
328 3.03655 -2.24209 2.20473
329 3.07074 -1.3321 2.54743
330 1.58783 -3.44472 2.87048
331 1.21759 -2.67913 3.44743
332 3.12882 -2.70259 2.45613
333 1.53324 -3.45048 2.03954
334 1.80104 -3.98159 2.8859
